epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00304,2.84581,3.64223,2.1753,0.00764,0.05038,0.00584,0.00173,3.51645,3.65059,3.20339,0,0,0
2,13.1619,2.89568,3.61512,2.2039,0.00641,0.04361,0.01315,0.00315,3.42502,3.61441,3.12772,1.6505e-05,1.6505e-05,1.6505e-05
3,18.3318,2.78945,3.67338,2.02947,0.01559,0.10526,0.01841,0.00791,3.17634,3.51022,2.90039,3.26799e-05,3.26799e-05,3.26799e-05
4,23.555,2.44157,3.50926,1.80775,0.05747,0.39023,0.10815,0.03746,2.55602,3.00807,2.21663,4.85247e-05,4.85247e-05,4.85247e-05
5,29.1434,2.06611,2.91804,1.66806,0.22782,0.34286,0.26268,0.10667,2.05633,2.56101,1.68455,6.40395e-05,6.40395e-05,6.40395e-05
6,34.3799,1.88984,2.43957,1.58036,0.29544,0.48833,0.3242,0.15772,1.76097,5.74511,1.3337,7.92242e-05,7.92242e-05,7.92242e-05
7,39.5391,1.69172,2.04454,1.43321,0.30421,0.56842,0.34386,0.17507,1.77108,10.1126,1.26701,9.40788e-05,9.40788e-05,9.40788e-05
8,44.9483,1.77641,1.7239,1.37264,0.24956,0.57444,0.34161,0.15787,1.79349,14.9342,1.27217,0.000108603,0.000108603,0.000108603
9,50.0572,1.38398,1.4182,1.26504,0.23578,0.51185,0.29304,0.12621,1.722,15.2959,1.23227,0.000122798,0.000122798,0.000122798
10,55.1139,1.39176,1.5774,1.20477,0.30474,0.40602,0.27707,0.12471,1.65224,7.66688,1.20636,0.000136662,0.000136662,0.000136662
11,60.2756,1.34397,1.21776,1.23655,0.36944,0.54933,0.38916,0.18175,1.54943,4.19087,1.18878,0.000150197,0.000150197,0.000150197
12,65.4422,1.34618,1.2798,1.27669,0.58562,0.54286,0.57041,0.2893,1.44365,3.57913,1.16511,0.000163401,0.000163401,0.000163401
13,71.5293,1.25644,1.17204,1.22622,0.43642,0.79153,0.60056,0.3131,1.45921,4.51092,1.18269,0.000176275,0.000176275,0.000176275
14,77.1265,1.28289,1.15728,1.26694,0.44477,0.71128,0.53711,0.30332,1.47615,4.34015,1.21518,0.000188819,0.000188819,0.000188819
15,82.1972,1.20379,1.08632,1.21308,0.54983,0.6937,0.61124,0.3655,1.41299,2.95244,1.20858,0.000201034,0.000201034,0.000201034
