epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,87.8485,1.2249,1.08541,1.25374,0.52842,0.65865,0.58007,0.33509,1.42339,2.86357,1.19571,0.000212918,0.000212918,0.000212918
17,93.9286,1.26345,1.14092,1.19927,0.40017,0.55293,0.42419,0.22289,1.585,3.63025,1.31128,0.000224472,0.000224472,0.000224472
18,98.9051,1.13379,1.08434,1.18002,0.40017,0.55293,0.42419,0.22289,1.585,3.63025,1.31128,0.000235695,0.000235695,0.000235695
19,103.973,1.17408,1.00779,1.13863,0.42584,0.63675,0.44444,0.2542,1.55398,3.60932,1.28472,0.000246589,0.000246589,0.000246589
20,109.186,1.28284,1.44589,1.2873,0.42584,0.63675,0.44444,0.2542,1.55398,3.60932,1.28472,0.000257153,0.000257153,0.000257153
21,115.21,1.18033,1.05775,1.16447,0.59105,0.74949,0.66206,0.40833,1.37398,2.34538,1.18046,0.000267387,0.000267387,0.000267387
22,120.185,1.1352,0.98988,1.17042,0.59105,0.74949,0.66206,0.40833,1.37398,2.34538,1.18046,0.00027729,0.00027729,0.00027729
23,125.446,1.12529,0.98531,1.14695,0.68702,0.76917,0.75989,0.48935,1.2913,1.98635,1.16144,0.000286864,0.000286864,0.000286864
24,131.021,1.17508,0.99802,1.15966,0.68702,0.76917,0.75989,0.48935,1.2913,1.98635,1.16144,0.000296108,0.000296108,0.000296108
25,136.233,1.08592,0.9128,1.11309,0.68607,0.75949,0.76343,0.46102,1.33872,2.13113,1.18259,0.000305021,0.000305021,0.000305021
26,141.544,1.13812,0.94176,1.09783,0.68607,0.75949,0.76343,0.46102,1.33872,2.13113,1.18259,0.000313604,0.000313604,0.000313604
27,147.527,1.13472,0.94134,1.15372,0.56036,0.72425,0.64064,0.35698,1.41894,2.7332,1.20665,0.000321858,0.000321858,0.000321858
28,152.828,1.19116,1.03505,1.21571,0.56036,0.72425,0.64064,0.35698,1.41894,2.7332,1.20665,0.000329781,0.000329781,0.000329781
29,158.756,1.05149,0.89314,1.12557,0.56093,0.81128,0.69208,0.39898,1.34204,2.29601,1.17933,0.000337374,0.000337374,0.000337374
30,164.114,1.10355,0.92644,1.11265,0.56093,0.81128,0.69208,0.39898,1.34204,2.29601,1.17933,0.000344637,0.000344637,0.000344637
31,169.492,1.15326,0.88546,1.09691,0.63578,0.77546,0.75295,0.45136,1.31386,1.93381,1.19444,0.00035157,0.00035157,0.00035157
32,174.603,1.13049,0.91821,1.20006,0.63578,0.77546,0.75295,0.45136,1.31386,1.93381,1.19444,0.000358173,0.000358173,0.000358173
33,179.952,1.07941,0.8929,1.15903,0.7131,0.74252,0.79908,0.51922,1.2413,1.48686,1.14963,0.000364446,0.000364446,0.000364446
34,184.931,1.02521,0.84074,1.10413,0.7131,0.74252,0.79908,0.51922,1.2413,1.48686,1.14963,0.000370389,0.000370389,0.000370389
35,190.224,1.05823,0.88436,1.10467,0.71829,0.77519,0.79709,0.49909,1.37449,1.69168,1.20471,0.000376002,0.000376002,0.000376002
36,195.396,1.03659,0.83129,1.09982,0.71829,0.77519,0.79709,0.49909,1.37449,1.69168,1.20471,0.000381285,0.000381285,0.000381285
37,201.445,1.06663,0.83466,1.1065,0.64018,0.76767,0.74349,0.4056,1.52655,2.81846,1.30689,0.000386237,0.000386237,0.000386237
38,206.883,1.10724,0.84023,1.10706,0.64018,0.76767,0.74349,0.4056,1.52655,2.81846,1.30689,0.00039086,0.00039086,0.00039086
39,212.714,0.98937,0.7319,1.05784,0.49479,0.68797,0.56311,0.27091,1.64801,4.43648,1.45882,0.000395152,0.000395152,0.000395152
40,217.74,1.03141,0.80491,1.06811,0.49479,0.68797,0.56311,0.27091,1.64801,4.43648,1.45882,0.000399115,0.000399115,0.000399115
41,223.254,0.98437,0.76302,1.01976,0.36385,0.63233,0.42531,0.21155,1.70793,4.79122,1.55409,0.000402747,0.000402747,0.000402747
42,228.66,1.007,0.73733,1.03964,0.36385,0.63233,0.42531,0.21155,1.70793,4.79122,1.55409,0.00040605,0.00040605,0.00040605
43,234.407,1.1227,0.93096,1.15172,0.44689,0.68421,0.50225,0.28071,1.43855,3.5229,1.39217,0.000409022,0.000409022,0.000409022
44,239.937,1.10184,0.78334,1.10121,0.44689,0.68421,0.50225,0.28071,1.43855,3.5229,1.39217,0.000411664,0.000411664,0.000411664
45,245.525,1.11473,0.7748,1.07219,0.46851,0.68195,0.56253,0.33157,1.38302,3.31796,1.29037,0.000413976,0.000413976,0.000413976
46,250.657,1.12878,0.79039,1.08,0.46851,0.68195,0.56253,0.33157,1.38302,3.31796,1.29037,0.000415958,0.000415958,0.000415958
47,256.076,1.01176,0.71716,1.06303,0.45621,0.7873,0.55326,0.31633,1.55912,4.16031,1.34426,0.00041761,0.00041761,0.00041761
48,261.117,1.09363,0.92808,1.11777,0.45621,0.7873,0.55326,0.31633,1.55912,4.16031,1.34426,0.000418932,0.000418932,0.000418932
49,266.529,1.05559,0.77784,1.09288,0.63342,0.72632,0.71168,0.44644,1.46004,2.48598,1.25371,0.000419924,0.000419924,0.000419924
50,272.286,1.11676,0.79309,1.08168,0.63342,0.72632,0.71168,0.44644,1.46004,2.48598,1.25371,0.000420586,0.000420586,0.000420586
51,278.177,1.08836,0.73478,1.07437,0.54991,0.82296,0.69174,0.44472,1.38357,2.10132,1.19261,0.000420918,0.000420918,0.000420918
52,283.234,1.04696,0.75993,1.08292,0.54991,0.82296,0.69174,0.44472,1.38357,2.10132,1.19261,0.000420919,0.000420919,0.000420919
53,288.221,1.06002,0.77944,1.05164,0.54991,0.82296,0.69174,0.44472,1.38357,2.10132,1.19261,0.000420591,0.000420591,0.000420591
54,293.684,1.01078,0.72108,1.04511,0.64594,0.70677,0.68357,0.43567,1.3692,2.26654,1.18162,0.000419932,0.000419932,0.000419932
55,299.486,0.96356,0.71648,1.03908,0.64594,0.70677,0.68357,0.43567,1.3692,2.26654,1.18162,0.000418944,0.000418944,0.000418944
56,305.716,0.94863,0.69075,1.03412,0.64594,0.70677,0.68357,0.43567,1.3692,2.26654,1.18162,0.000417625,0.000417625,0.000417625
57,311.103,1.04503,0.74481,1.05194,0.67778,0.73481,0.76175,0.49459,1.31244,2.13598,1.18187,0.000415977,0.000415977,0.000415977
58,316.131,1.0429,0.73769,1.06839,0.67778,0.73481,0.76175,0.49459,1.31244,2.13598,1.18187,0.000413998,0.000413998,0.000413998
59,321.551,0.96961,0.74335,1.07202,0.67778,0.73481,0.76175,0.49459,1.31244,2.13598,1.18187,0.000411689,0.000411689,0.000411689
60,327.321,0.98269,0.68818,1.04935,0.76148,0.84761,0.82318,0.53294,1.24096,1.56533,1.19523,0.00040905,0.00040905,0.00040905
61,332.827,0.98606,0.72302,1.04447,0.76148,0.84761,0.82318,0.53294,1.24096,1.56533,1.19523,0.000406081,0.000406081,0.000406081
62,338.302,0.872,0.62179,1.01043,0.76148,0.84761,0.82318,0.53294,1.24096,1.56533,1.19523,0.000402782,0.000402782,0.000402782
63,343.872,1.00154,0.71812,1.04027,0.74532,0.87901,0.84004,0.57006,1.23268,1.46783,1.17736,0.000399153,0.000399153,0.000399153
64,349.031,0.9432,0.65957,1.02344,0.74532,0.87901,0.84004,0.57006,1.23268,1.46783,1.17736,0.000395194,0.000395194,0.000395194
65,354.08,0.94942,0.65141,1.02757,0.74532,0.87901,0.84004,0.57006,1.23268,1.46783,1.17736,0.000390905,0.000390905,0.000390905
66,359.606,0.96812,0.66931,1.03797,0.77265,0.85691,0.84863,0.58934,1.18326,1.39356,1.147,0.000386286,0.000386286,0.000386286
67,365.498,0.93679,0.62848,1.00734,0.77265,0.85691,0.84863,0.58934,1.18326,1.39356,1.147,0.000381336,0.000381336,0.000381336
68,370.521,0.94312,0.67547,1.03483,0.77265,0.85691,0.84863,0.58934,1.18326,1.39356,1.147,0.000376057,0.000376057,0.000376057
69,375.795,0.82972,0.60514,0.98666,0.79956,0.9,0.86467,0.59804,1.24266,1.18603,1.18609,0.000370447,0.000370447,0.000370447
70,380.836,0.88318,0.64691,1.02237,0.79956,0.9,0.86467,0.59804,1.24266,1.18603,1.18609,0.000364508,0.000364508,0.000364508
71,385.869,0.88057,0.65631,1.04799,0.79956,0.9,0.86467,0.59804,1.24266,1.18603,1.18609,0.000358238,0.000358238,0.000358238
72,392.458,0.91321,0.66192,0.99668,0.78236,0.89173,0.85357,0.60893,1.25469,0.9712,1.20107,0.000351639,0.000351639,0.000351639
73,397.497,0.87815,0.58503,1.03224,0.78236,0.89173,0.85357,0.60893,1.25469,0.9712,1.20107,0.000344709,0.000344709,0.000344709
74,403.688,0.89144,0.6442,1.01331,0.78236,0.89173,0.85357,0.60893,1.25469,0.9712,1.20107,0.000337449,0.000337449,0.000337449
75,409.107,0.88827,0.64974,0.99244,0.75091,0.8594,0.84219,0.60453,1.25058,0.99665,1.17726,0.000329859,0.000329859,0.000329859
76,414.507,0.84858,0.58303,0.98729,0.75091,0.8594,0.84219,0.60453,1.25058,0.99665,1.17726,0.000321939,0.000321939,0.000321939
77,419.828,0.88634,0.621,1.02749,0.75091,0.8594,0.84219,0.60453,1.25058,0.99665,1.17726,0.000313689,0.000313689,0.000313689
78,425.516,0.99827,0.7521,1.10488,0.75426,0.83436,0.83031,0.59274,1.25908,0.98679,1.1929,0.000305109,0.000305109,0.000305109
79,430.6,0.94997,0.67831,1.00848,0.75426,0.83436,0.83031,0.59274,1.25908,0.98679,1.1929,0.000296199,0.000296199,0.000296199
80,435.749,0.92938,0.65896,1.00833,0.75426,0.83436,0.83031,0.59274,1.25908,0.98679,1.1929,0.000286959,0.000286959,0.000286959
81,441.037,0.87612,0.58231,1.06003,0.80478,0.78068,0.84961,0.61174,1.20594,0.9579,1.15754,0.000277389,0.000277389,0.000277389
82,446.531,0.86888,0.60231,0.99078,0.80478,0.78068,0.84961,0.61174,1.20594,0.9579,1.15754,0.000267488,0.000267488,0.000267488
83,451.5,0.8052,0.58955,0.96033,0.80478,0.78068,0.84961,0.61174,1.20594,0.9579,1.15754,0.000257258,0.000257258,0.000257258
84,458.091,0.79987,0.57715,1.01097,0.80118,0.86236,0.86949,0.64802,1.14299,1.00525,1.11405,0.000246698,0.000246698,0.000246698
85,463.25,0.84008,0.589,1.00906,0.80118,0.86236,0.86949,0.64802,1.14299,1.00525,1.11405,0.000235807,0.000235807,0.000235807
86,468.46,0.84189,0.58376,1.00214,0.80118,0.86236,0.86949,0.64802,1.14299,1.00525,1.11405,0.000224587,0.000224587,0.000224587
87,474.725,0.81807,0.57092,0.97099,0.80118,0.86236,0.86949,0.64802,1.14299,1.00525,1.11405,0.000213036,0.000213036,0.000213036
88,481.419,0.78946,0.54866,0.9889,0.78769,0.89125,0.86233,0.66085,1.10101,1.09917,1.08447,0.000201155,0.000201155,0.000201155
89,486.934,0.77989,0.5695,0.99418,0.78769,0.89125,0.86233,0.66085,1.10101,1.09917,1.08447,0.000188944,0.000188944,0.000188944
90,492.269,0.79358,0.5594,0.99513,0.78769,0.89125,0.86233,0.66085,1.10101,1.09917,1.08447,0.000176404,0.000176404,0.000176404
91,498.012,0.77531,0.68453,0.99496,0.78769,0.89125,0.86233,0.66085,1.10101,1.09917,1.08447,0.000163533,0.000163533,0.000163533
92,503.985,0.83514,0.74312,0.98838,0.78669,0.88421,0.86151,0.66144,1.08363,1.03821,1.0789,0.000150332,0.000150332,0.000150332
93,509.177,0.80464,0.64843,0.95662,0.78669,0.88421,0.86151,0.66144,1.08363,1.03821,1.0789,0.000136801,0.000136801,0.000136801
94,514.285,0.75818,0.59419,0.93866,0.78669,0.88421,0.86151,0.66144,1.08363,1.03821,1.0789,0.00012294,0.00012294,0.00012294
95,519.656,0.74946,0.63163,0.9298,0.78669,0.88421,0.86151,0.66144,1.08363,1.03821,1.0789,0.000108748,0.000108748,0.000108748
96,525.861,0.77632,0.62922,0.9214,0.7945,0.88045,0.86325,0.65193,1.07792,0.96935,1.07481,9.42272e-05,9.42272e-05,9.42272e-05
97,531.071,0.81687,0.65863,0.99092,0.7945,0.88045,0.86325,0.65193,1.07792,0.96935,1.07481,7.93759e-05,7.93759e-05,7.93759e-05
98,536.37,0.76013,0.60907,0.94271,0.7945,0.88045,0.86325,0.65193,1.07792,0.96935,1.07481,6.41945e-05,6.41945e-05,6.41945e-05
99,542.148,0.81105,0.70046,1.02687,0.7945,0.88045,0.86325,0.65193,1.07792,0.96935,1.07481,4.86831e-05,4.86831e-05,4.86831e-05
100,547.85,0.7604,0.61814,0.94453,0.80949,0.89265,0.86324,0.65847,1.06936,0.94131,1.07134,3.28416e-05,3.28416e-05,3.28416e-05
