epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6341,2.59059,3.19631,2.14594,0.04164,0.24529,0.04218,0.01666,2.85516,3.07499,2.33738,0,0,0
2,315.758,2.60387,3.13066,2.20078,0.0811,0.17945,0.07039,0.02367,2.64796,2.8754,2.17716,1.6505e-05,1.6505e-05,1.6505e-05
3,411.729,2.44899,2.93464,1.98694,0.25996,0.17916,0.13952,0.05554,2.43885,2.47085,1.9891,3.26799e-05,3.26799e-05,3.26799e-05
4,509.981,2.11958,2.50706,1.74282,0.38262,0.29164,0.22638,0.09433,2.17922,2.5219,1.77585,4.85247e-05,4.85247e-05,4.85247e-05
5,577.074,1.77726,2.19586,1.62996,0.42285,0.45663,0.30128,0.13648,1.8562,3.44828,1.60847,6.40395e-05,6.40395e-05,6.40395e-05
6,695.026,1.58414,1.8562,1.54537,0.30999,0.52247,0.35232,0.16599,1.67016,3.05516,1.52168,7.92242e-05,7.92242e-05,7.92242e-05
7,804.635,1.48152,1.81335,1.47929,0.36013,0.52573,0.37274,0.17897,1.54987,2.89021,1.45016,9.40788e-05,9.40788e-05,9.40788e-05
8,1877.4,1.46482,1.74583,1.40765,0.36684,0.52714,0.36236,0.17524,1.48416,3.4158,1.39673,0.000108603,0.000108603,0.000108603
9,1975.16,1.22236,1.49157,1.30358,0.41981,0.52752,0.442,0.2272,1.44802,2.4784,1.37477,0.000122798,0.000122798,0.000122798
